District,SAT
SIERRA-PLUMAS JOINT UNIFIED,968
SISKIYOU UNION HIGH,967
YREKA UNION HIGH,1025
BENICIA UNIFIED,1071
DIXON UNIFIED,1009
FAIRFIELD-SUISUN UNIFIED,988
TRAVIS UNIFIED,1019
VACAVILLE UNIFIED,1024
VALLEJO CITY UNIFIED,964
WEST SONOMA COUNTY UNION HIGH,1141
CLOVERDALE UNIFIED,1002
PETALUMA JOINT UNION HIGH,1073
SANTA ROSA HIGH,963
SONOMA VALLEY UNIFIED,1061
COTATI-ROHNERT PARK UNIFIED,1026
WINDSOR UNIFIED,984
HEALDSBURG UNIFIED,1027
CERES UNIFIED,982
DENAIR UNIFIED,901
MODESTO CITY HIGH,990
PATTERSON JOINT UNIFIED,930
TURLOCK JOINT UNION HIGH,1005
NEWMAN-CROWS LANDING UNIFIED,949
HUGHSON UNIFIED,962
RIVERBANK UNIFIED,995
OAKDALE JOINT UNIFIED,1017
EAST NICOLAUS JOINT UNION HIGH,1037
LIVE OAK UNIFIED,853
SUTTER UNION HIGH,983
YUBA CITY UNIFIED,1007
CORNING UNION HIGH,942
RED BLUFF JOINT UNION HIGH,1028
TRINITY UNION HIGH,1014
MOUNTAIN VALLEY UNIFIED,1095
CUTLER-OROSI JOINT UNIFIED,890
EXETER UNION HIGH,982
LINDSAY UNIFIED,930
TULARE JOINT UNION HIGH,947
VISALIA UNIFIED,993
WOODLAKE UNION HIGH,878
PORTERVILLE UNIFIED,973
DINUBA UNIFIED,982
SONORA UNION HIGH,1048
SUMMERVILLE UNION HIGH,1021
BIG OAK FLAT-GROVELAND UNIFIED,1104
FILLMORE UNIFIED,866
OJAI UNIFIED,1066
OXNARD UNION HIGH,997
SANTA PAULA UNION HIGH,923
SIMI VALLEY UNIFIED,1085
VENTURA UNIFIED,1074
CONEJO VALLEY UNIFIED,1119
OAK PARK UNIFIED,1117
MOORPARK UNIFIED,1042
DAVIS JOINT UNIFIED,1150
ESPARTO UNIFIED,890
WASHINGTON UNIFIED,951
WINTERS JOINT UNIFIED,1038
WOODLAND JOINT UNIFIED,956
MARYSVILLE JOINT UNIFIED,884
WHEATLAND UNION HIGH,968
